Fecha;Año;Mes;Residencia;Ambito;Promedio de Estancia Media;Total Pernoctaciones;Total Viajeros;Acumulado Año;Variación Año Anterior;Var. % Año Anterior;Variación Periodo Anterior;Var. % Periodo Anterior
01/02/2018 0:00;2018;febrero;España;Málaga REST;2,36;214684;90830;148958;7670;9,22%;32702;56,26%
01/02/2018 0:00;2018;febrero;España;Cádiz REST;1,74;131703;75608;123760;7695;11,33%;27456;57,02%
01/02/2018 0:00;2018;febrero;Total;Sevilla CAP;1,96;384575;196505;372527;15511;8,57%;20483;11,64%
01/02/2018 0:00;2018;febrero;Total;Huelva;3,04;129210;42454;64806;2380;5,94%;20102;89,93%
01/02/2018 0:00;2018;febrero;Total;Almería REST;3,54;146252;41273;62759;-1272;-2,99%;19787;92,09%
01/02/2018 0:00;2018;febrero;España;Huelva;2,7;98032;36262;52900;2645;7,87%;19624;117,95%
01/02/2018 0:00;2018;febrero;España;Almería REST;2,87;96464;33574;48710;-1064;-3,07%;18438;121,82%
01/02/2018 0:00;2018;febrero;España;Sevilla CAP;1,73;176233;101601;187658;5096;5,28%;15544;18,06%
01/02/2018 0:00;2018;febrero;Total;Granada REST;2,09;203715;97265;179764;20991;27,52%;14766;17,90%
01/02/2018 0:00;2018;febrero;Total;Granada CAP;1,73;234566;135906;257184;12072;9,75%;14628;12,06%
01/02/2018 0:00;2018;febrero;Fuera de España;Málaga REST;5,17;544601;105251;197209;2199;2,13%;13293;14,46%
01/02/2018 0:00;2018;febrero;Total;Córdoba CAP;1,58;106201;67262;122892;-298;-0,44%;11632;20,91%
01/02/2018 0:00;2018;febrero;España;Granada REST;1,94;131507;67783;126142;15345;29,26%;9424;16,15%
01/02/2018 0:00;2018;febrero;Fuera de España;Granada CAP;1,7;97796;57548;106291;6820;13,44%;8805;18,06%
01/02/2018 0:00;2018;febrero;Fuera de España;Córdoba CAP;1,43;38474;26879;45717;2432;9,95%;8041;42,68%
01/02/2018 0:00;2018;febrero;Fuera de España;Cádiz REST;2,61;94691;36221;64935;1799;5,23%;7507;26,14%
01/02/2018 0:00;2018;febrero;Total;Jaén;1,65;53651;32438;58943;-1811;-5,29%;5933;22,38%
01/02/2018 0:00;2018;febrero;España;Granada CAP;1,75;136770;78358;150893;5252;7,18%;5823;8,03%
01/02/2018 0:00;2018;febrero;España;Jaén;1,65;47246;28695;51929;-2545;-8,15%;5461;23,50%
01/02/2018 0:00;2018;febrero;Fuera de España;Granada REST;2,45;72208;29483;53623;5648;23,70%;5343;22,13%
01/02/2018 0:00;2018;febrero;Fuera de España;Sevilla CAP;2,2;208342;94904;184869;10415;12,33%;4939;5,49%
01/02/2018 0:00;2018;febrero;Total;Cádiz CAP;2,03;37350;18419;32581;1491;8,81%;4257;30,06%
01/02/2018 0:00;2018;febrero;España;Cádiz CAP;1,92;25589;13345;22583;252;1,92%;4107;44,46%
01/02/2018 0:00;2018;febrero;España;Córdoba CAP;1,68;67727;40383;77175;-2730;-6,33%;3591;9,76%
01/02/2018 0:00;2018;febrero;Total;Sevilla REST;1,56;76644;49281;95276;-2256;-4,38%;3286;7,14%
01/02/2018 0:00;2018;febrero;Fuera de España;Sevilla REST;1,49;36629;24634;46194;116;0,47%;3074;14,26%
